09/21/14,QB,Joe Flacco,ILLNESS,PROBABLE,,Baltimore Ravens
12/28/14,K,Dan Carpenter,RIGHT GROIN,PROBABLE,,Buffalo Bills
12/28/14,DT,Marcell Dareus,KNEE,OUT,Missed Week 17 at New England,Buffalo Bills
12/28/14,CB,Stephon Gilmore,CONCUSSION,OUT,Missed Week 17 at New England,Buffalo Bills
12/28/14,S,Aaron Williams,HIP,PROBABLE,,Buffalo Bills
12/21/14,RB,Boobie Dixon,CHEST,PROBABLE,,Buffalo Bills
12/21/14,TE,Chris Gragg,KNEE,PROBABLE,,Buffalo Bills
12/21/14,S,Da'Norris Searcy,HAMSTRING,PROBABLE,,Buffalo Bills
12/21/14,RB,C.J. Spiller,SHOULDER,PROBABLE,,Buffalo Bills
12/21/14,WR,Marcus Thigpen,FOOT,PROBABLE,,Buffalo Bills
12/21/14,S,Duke Williams,CONCUSSION,PROBABLE,,Buffalo Bills
12/21/14,DE,Jarius Wynn,KNEE,PROBABLE,,Buffalo Bills
12/14/14,DT,Stefan Charles,QUADRICEPS,PROBABLE,,Buffalo Bills
12/09/14,WR,Mike Williams,CALF,&nbsp;,,Buffalo Bills
12/07/14,WR,Chris Hogan,HAMSTRING,PROBABLE,,Buffalo Bills
12/07/14,S,Bacarri Rambo,HAMSTRING,PROBABLE,,Buffalo Bills
12/07/14,WR,Sammy Watkins,HIP,PROBABLE,,Buffalo Bills
12/07/14,WR,Robert Woods,ANKLE,PROBABLE,,Buffalo Bills
11/24/14,CB,Ron Brooks,GROIN,QUESTIONABLE,,Buffalo Bills
11/24/14,WR,Marquise Goodwin,ANKLE,PROBABLE,,Buffalo Bills
11/24/14,RB,Fred Jackson,GROIN,QUESTIONABLE,,Buffalo Bills
11/24/14,DE,Manny Lawson,ANKLE,PROBABLE,,Buffalo Bills
11/24/14,QB,Kyle Orton,TOE,PROBABLE,,Buffalo Bills
11/24/14,RB,Frank Summers,NECK,PROBABLE,,Buffalo Bills
11/24/14,G,Kraig Urbik,SHOULDER,PROBABLE,,Buffalo Bills
11/13/14,WR,Marcus Easley,KNEE,QUESTIONABLE,,Buffalo Bills
11/09/14,LB,Ty Powell,ANKLE,PROBABLE,,Buffalo Bills
