Date,Pos,Player,Injury,NFL Status,Fantasy News
09/14/14,DE,Greg Hardy,NOT INJURY RELATED,PROBABLE,
Date,Pos,Player,Injury,NFL Status,Fantasy News
Date,Pos,Player,Injury,NFL Status,Fantasy News
12/28/14,DE,Jared Allen,RIBS,QUESTIONABLE,
12/28/14,DE,David Bass,KNEE,PROBABLE,
12/28/14,QB,Jimmy Clausen,CONCUSSION,OUT,Missed Week 17 at Minnesota
12/28/14,S,Chris Conte,BACK,OUT,Missed Week 17 at Minnesota
12/28/14,DT,Ego Ferguson,ANKLE,PROBABLE,
12/28/14,K,Robbie Gould,RIGHT QUADRICEPS,OUT,Missed Week 17 at Minnesota
12/28/14,G,Kyle Long,HIP,PROBABLE,
12/28/14,CB,Al Louis-Jean,HAMSTRING,QUESTIONABLE,Missed Week 17 at Minnesota
12/28/14,DT,Jeremiah Ratliff,KNEE,QUESTIONABLE,
12/28/14,WR,Marquess Wilson,KNEE,PROBABLE,
12/21/14,CB,Kyle Fuller,HAND,PROBABLE,
12/21/14,CB,Tim Jennings,ANKLE,QUESTIONABLE,
12/21/14,LB,Shea McClellin,ANKLE,PROBABLE,
12/21/14,DT,Will Sutton,ILLNESS,QUESTIONABLE,
12/15/14,T,Michael Ola,BACK,QUESTIONABLE,
12/15/14,DE,Cornelius Washington,ANKLE,QUESTIONABLE,
12/04/14,TE,Martellus Bennett,FOOT,PROBABLE,
12/04/14,WR,Alshon Jeffery,HAMSTRING,QUESTIONABLE,
12/04/14,DE,Trevor Scott,KNEE,PROBABLE,
12/04/14,WR,Chris Williams,HAMSTRING,&nbsp;,
11/27/14,G,Eben Britton,ILLNESS,PROBABLE,
11/27/14,T,Jordan Mills,RIBS,PROBABLE,
11/27/14,S,Brock Vereen,SHOULDER,PROBABLE,
11/26/14,C,Brian de la Puente,ANKLE,&nbsp;,
11/23/14,CB,Demontre Hurst,KNEE,QUESTIONABLE,
11/23/14,WR,Josh Morgan,SHOULDER,PROBABLE,
11/16/14,CB,Terrance Mitchell,ILLNESS,PROBABLE,
11/09/14,LB,Jonathan Bostic,BACK,PROBABLE,
11/09/14,S,Danny McCray,KNEE,PROBABLE,
10/19/14,T,Jermon Bushrod,"KNEE, ANKLE",PROBABLE,
10/19/14,S,Ahmad Dixon,HAMSTRING,PROBABLE,
10/19/14,CB,Sherrick McManis,"QUADRICEPS, KNEE",PROBABLE,
10/13/14,G,Taylor Boggs,HAMSTRING,&nbsp;,
10/12/14,C,Roberto Garza,ANKLE,PROBABLE,
09/28/14,S,Ryan Mundy,SHOULDER,PROBABLE,
Date,Pos,Player,Injury,NFL Status,Fantasy News
01/04/15,WR,A.J. Green,CONCUSSION,DOUBTFUL,Missed Wild Card game at Indianapolis
01/04/15,TE,Jermaine Gresham,BACK,QUESTIONABLE,Missed Wild Card game at Indianapolis
01/04/15,RB,Cedric Peerman,"CONCUSSION, SHOULDER",QUESTIONABLE,
01/04/15,WR,James Wright,KNEE,OUT,Missed Wild Card game at Indianapolis
12/28/14,G,Clint Boling,ILLNESS,PROBABLE,
12/28/14,LB,Chris Carter,KNEE,PROBABLE,
12/28/14,CB,Darqueze Dennard,SHIN,PROBABLE,
12/28/14,DE,Wallace Gilberry,HAMSTRING,PROBABLE,
12/28/14,CB,Adam Jones,ILLNESS,QUESTIONABLE,
12/28/14,LB,Emmanuel Lamur,HAMSTRING,QUESTIONABLE,
12/28/14,CB,Chris Lewis-Harris,ILLNESS,QUESTIONABLE,
12/28/14,S,Reggie Nelson,ILLNESS,QUESTIONABLE,
12/28/14,CB,Terence Newman,ILLNESS,QUESTIONABLE,
12/28/14,K,Mike Nugent,ILLNESS,PROBABLE,
12/22/14,DE,Carlos Dunlap,CALF,PROBABLE,
12/22/14,DE,Margus Hunt,ANKLE,PROBABLE,
12/22/14,CB,Dre Kirkpatrick,ACHILLES,PROBABLE,Left Wild Card game at Indianapolis
12/22/14,QB,AJ McCarron,ILLNESS,QUESTIONABLE,
12/22/14,T,Marshall Newhouse,ILLNESS,PROBABLE,
12/22/14,G,Mike Pollak,KNEE,PROBABLE,
12/22/14,WR,Brandon Tate,ILLNESS,PROBABLE,
12/14/14,S,Shawn Williams,CHEST,PROBABLE,
12/07/14,DE,Robert Geathers,HIP,PROBABLE,
12/07/14,TE,Ryan Hewitt,ILLNESS,PROBABLE,
12/07/14,DT,Domata Peko,ELBOW,QUESTIONABLE,
11/30/14,S,George Iloka,GROIN,PROBABLE,
11/30/14,LB,Nico Johnson,ILLNESS,QUESTIONABLE,
11/30/14,WR,Greg Little,ILLNESS,PROBABLE,
11/25/14,T,Andre Smith,TORN LEFT TRICEPS,&nbsp;,
11/23/14,RB,Giovani Bernard,"HIP, CLAVICLE",PROBABLE,
11/23/14,G,Kevin Zeitler,CALF,PROBABLE,
11/16/14,CB,Leon Hall,CONCUSSION,PROBABLE,
11/16/14,LB,Rey Maualuga,HAMSTRING,QUESTIONABLE,Left Wild Card game at Indianapolis
11/16/14,S,Taylor Mays,FOOT,PROBABLE,
11/02/14,DT,Brandon Thompson,KNEE,QUESTIONABLE,
10/26/14,TE,Kevin Brock,NECK,PROBABLE,
10/12/14,LB,Vincent Rey,CALF,PROBABLE,
10/05/14,RB,Rex Burkhead,KNEE,PROBABLE,
09/21/14,T,Andrew Whitworth,KNEE,PROBABLE,
09/14/14,DT,Geno Atkins,FEET,PROBABLE,
Date,Pos,Player,Injury,NFL Status,Fantasy News
12/28/14,TE,Gary Barnidge,RIB,QUESTIONABLE,
12/28/14,DE,Desmond Bryant,THUMB,QUESTIONABLE,
12/28/14,CB,Joe Haden,SHOULDER,QUESTIONABLE,
12/28/14,WR,Andrew Hawkins,THUMB,QUESTIONABLE,
12/28/14,QB,Brian Hoyer,"RIGHT SHOULDER, BICEPS",DOUBTFUL,Missed Week 17 at Baltimore
12/28/14,WR,Marlon Moore,KNEE,PROBABLE,
12/28/14,NT,Ahtyba Rubin,ANKLE,OUT,Missed Week 17 at Baltimore
12/28/14,LB,Jabaal Sheard,FOOT,QUESTIONABLE,
12/28/14,TE,Ryan Taylor,ELBOW,QUESTIONABLE,
12/28/14,CB,K'Waun Williams,HAMSTRING,QUESTIONABLE,
12/21/14,LB,Karlos Dansby,KNEE,QUESTIONABLE,
12/21/14,CB,Robert Nelson,HAMSTRING,QUESTIONABLE,
12/14/14,RB,Isaiah Crowell,HIP,PROBABLE,
12/14/14,RB,Glenn Winston,ILLNESS,PROBABLE,
12/07/14,TE,Jordan Cameron,CONCUSSION,QUESTIONABLE,
12/07/14,LB,Paul Kruger,ILLNESS,PROBABLE,
12/07/14,C,Nick McDonald,"ANKLE, KNEE",PROBABLE,
12/07/14,LB,Barkevious Mingo,SHOULDER,PROBABLE,
11/23/14,S,Johnson Bademosi,CONCUSSION,QUESTIONABLE,
11/16/14,DE,Billy Winn,TOE,PROBABLE,
11/14/14,DE,Phil Taylor,RIGHT KNEE,&nbsp;,
11/06/14,WR,Taylor Gabriel,SHOULDER,PROBABLE,
11/02/14,S,Jim Leonhard,ANKLE,PROBABLE,
11/02/14,T,Joe Thomas,NOT INJURY RELATED,PROBABLE,
10/27/14,DE,John Hughes,RIGHT KNEE,&nbsp;,
10/19/14,RB,Ben Tate,FINGER,PROBABLE,
10/12/14,G,John Greco,KNEE,PROBABLE,
10/12/14,CB,Buster Skrine,THUMB,PROBABLE,
09/21/14,WR,Travis Benjamin,KNEE,PROBABLE,
09/21/14,P,Spencer Lanning,SHOULDER,PROBABLE,
09/21/14,G,Paul McQuistan,ANKLE,PROBABLE,
09/07/14,CB,Pierre Desir,KNEE,PROBABLE,
09/07/14,LB,Eric Martin,CONCUSSION,PROBABLE,
09/07/14,LB,Christian Yount,SHOULDER,PROBABLE,
Date,Pos,Player,Injury,NFL Status,Fantasy News
01/11/15,LB,Bruce Carter,KNEE,PROBABLE,
01/11/15,T,Doug Free,ANKLE,DOUBTFUL,
01/11/15,TE,James Hanna,KNEE,PROBABLE,
01/11/15,DT,Nick Hayden,SHOULDER,PROBABLE,
01/11/15,S,Jeff Heath,THUMB,PROBABLE,
01/11/15,LB,Anthony Hitchens,ANKLE,QUESTIONABLE,
01/11/15,G,Zack Martin,ANKLE,PROBABLE,
01/11/15,LB,Rolando McClain,"KNEE, CONCUSSION",QUESTIONABLE,Left Divisional Playoff game at Green Bay
01/11/15,DT,Terrell McClain,ANKLE,QUESTIONABLE,Missed Divisional Playoff game at Green Bay
01/11/15,DE,Jeremy Mincey,CONCUSSION,QUESTIONABLE,
01/11/15,RB,DeMarco Murray,HAND,PROBABLE,
01/11/15,QB,Tony Romo,BACK,PROBABLE,
01/04/15,DT,Josh Brent,CALF,PROBABLE,
01/04/15,DE,Tyrone Crawford,ILLNESS,QUESTIONABLE,
01/04/15,S,C.J. Spillman,GROIN,PROBABLE,
12/21/14,CB,Tyler Patmon,"KNEE, ANKLE",PROBABLE,
12/21/14,DE,George Selvie,THUMB,PROBABLE,
12/21/14,QB,Brandon Weeden,NOT INJURY RELATED,PROBABLE,
12/14/14,DE,Demarcus Lawrence,CHEST,PROBABLE,
12/04/14,T,Tyron Smith,ILLNESS,PROBABLE,
12/04/14,WR,Terrance Williams,FINGER,PROBABLE,
11/09/14,S,Barry Church,SHOULDER,PROBABLE,
11/09/14,G,Ronald Leary,GROIN,PROBABLE,
11/09/14,T,Jermey Parnell,CHEST,PROBABLE,
11/09/14,DE,Anthony Spencer,"KNEE, FOOT",PROBABLE,
11/02/14,CB,Brandon Carr,HAMSTRING,PROBABLE,
10/27/14,WR,Dez Bryant,SHOULDER,PROBABLE,
10/27/14,S,Jakar Hamilton,NOT INJURY RELATED,PROBABLE,
10/19/14,LB,Cameron Lawrence,THIGH,PROBABLE,
09/28/14,DT,Davon Coleman,KNEE,QUESTIONABLE,
09/28/14,TE,Gavin Escobar,KNEE,PROBABLE,
09/21/14,DT,Ken Bishop,ILLNESS,PROBABLE,
09/21/14,DE,Lavar Edwards,KNEE,QUESTIONABLE,
09/21/14,RB,Joseph Randle,CONCUSSION,QUESTIONABLE,
09/17/14,T,Darrion Weems,SHOULDER,&nbsp;,
09/02/14,DL,Chris Whaley,Knee,NFI,NFI. Out indefinitely
Date,Pos,Player,Injury,NFL Status,Fantasy News
01/11/15,S,David Bruton Jr.,"CONCUSSION, NECK",PROBABLE,
01/11/15,T,Paul Cornick,TOE,PROBABLE,
01/11/15,G,Orlando Franklin,CONCUSSION,PROBABLE,
01/11/15,QB,Peyton Manning,THIGH,PROBABLE,
01/11/15,LB,Brandon Marshall,FOOT,QUESTIONABLE,
01/11/15,C,Will Montgomery,KNEE,PROBABLE,
01/11/15,CB,Aqib Talib,ACHILLES,PROBABLE,
01/11/15,WR,Demaryius Thomas,"ANKLE, FINGER",PROBABLE,
01/11/15,TE,Julius Thomas,ANKLE,PROBABLE,
